Moneda,Fecha,Valor
ADA,2023-06-30,3.48408666
AED,2023-06-30,3.6725
AFN,2023-06-30,86.04306144
ALL,2023-06-30,97.48700421
AMD,2023-06-30,387.08531651
ANG,2023-06-30,1.7873069
AOA,2023-06-30,822.98756557
ARS,2023-06-30,256.45082611
ATS,2023-06-30,12.59731912
AUD,2023-06-30,1.50092337
AWG,2023-06-30,1.79
AZM,2023-06-30,8526.23125845
AZN,2023-06-30,1.70524625
BAM,2023-06-30,1.79052889
BBD,2023-06-30,2.0
BCH,2023-06-30,0.0034068
BDT,2023-06-30,108.17628433
BEF,2023-06-30,36.93048797
BGN,2023-06-30,1.79052889
BHD,2023-06-30,0.376
BIF,2023-06-30,2841.92737394
BMD,2023-06-30,1.0
BND,2023-06-30,1.35224964
BOB,2023-06-30,6.90635312
BRL,2023-06-30,4.78977935
BSD,2023-06-30,1.0
BTC,2023-06-30,3.29e-05
BTN,2023-06-30,82.09673224
BWP,2023-06-30,13.4951395
BYN,2023-06-30,2.52486225
BYR,2023-06-30,25248.62254782
BZD,2023-06-30,2.01477982
CAD,2023-06-30,1.32474758
CDF,2023-06-30,2354.26804548
CHF,2023-06-30,0.89475093
CLF,2023-06-30,0.02221
CLP,2023-06-30,801.72416338
CNH,2023-06-30,7.26390191
CNY,2023-06-30,7.25327746
COP,2023-06-30,4167.62198608
CRC,2023-06-30,542.63310324
CUC,2023-06-30,1.0
CUP,2023-06-30,24.00195393
CVE,2023-06-30,100.95029755
CYP,2023-06-30,0.53580833
CZK,2023-06-30,21.77492153
DEM,2023-06-30,1.79052889
DJF,2023-06-30,178.05630442
DKK,2023-06-30,6.82433748
DOGE,2023-06-30,14.47112401
DOP,2023-06-30,55.3578523
DOT,2023-06-30,0.19235636
DZD,2023-06-30,135.95341862
EEK,2023-06-30,14.3242311
EGP,2023-06-30,30.86862757
ERN,2023-06-30,15.0
ESP,2023-06-30,152.32353504
ETB,2023-06-30,54.59873368
ETH,2023-06-30,0.00052136
EUR,2023-06-30,0.91548288
FIM,2023-06-30,5.44321404
FJD,2023-06-30,2.22796249
FKP,2023-06-30,0.79092886
FRF,2023-06-30,6.00517406
GBP,2023-06-30,0.79092886
GEL,2023-06-30,2.61732403
GGP,2023-06-30,0.79092886
GHC,2023-06-30,113855.31395426
GHS,2023-06-30,11.3855314
GIP,2023-06-30,0.79092886
GMD,2023-06-30,59.56301769
GNF,2023-06-30,8649.80644359
GRD,2023-06-30,311.95079252
GTQ,2023-06-30,7.84179447
GYD,2023-06-30,211.12076066
HKD,2023-06-30,7.83654976
HNL,2023-06-30,24.71480538
HRK,2023-06-30,6.89770579
HTG,2023-06-30,138.50858296
HUF,2023-06-30,341.69406439
IDR,2023-06-30,15045.20785505
IEP,2023-06-30,0.72100136
ILS,2023-06-30,3.70947884
IMP,2023-06-30,0.79092886
INR,2023-06-30,82.09673224
IQD,2023-06-30,1310.30736511
IRR,2023-06-30,42276.59693575
ISK,2023-06-30,136.26886117
ITL,2023-06-30,1772.62204265
JEP,2023-06-30,0.79092886
JMD,2023-06-30,154.17799392
JOD,2023-06-30,0.709
JPY,2023-06-30,144.29947235
KES,2023-06-30,140.59512535
KGS,2023-06-30,87.20208843
KHR,2023-06-30,4131.39148955
KMF,2023-06-30,450.38805431
KPW,2023-06-30,899.99996336
KRW,2023-06-30,1316.30220872
KWD,2023-06-30,0.3074391
KYD,2023-06-30,0.82000988
KZT,2023-06-30,450.85658013
LAK,2023-06-30,18741.50422386
LBP,2023-06-30,14967.75696796
LINK,2023-06-30,0.15985229
LKR,2023-06-30,308.02764822
LRD,2023-06-30,179.79621489
LSL,2023-06-30,18.83564126
LTC,2023-06-30,0.00937369
LTL,2023-06-30,3.1609793
LUF,2023-06-30,36.93048797
LUNA,2023-06-30,1.3484753
LVL,2023-06-30,0.64340137
LYD,2023-06-30,4.80977098
MAD,2023-06-30,9.90003911
MDL,2023-06-30,18.29987152
MGA,2023-06-30,4528.39945359
MGF,2023-06-30,22641.99726796
MKD,2023-06-30,56.53750435
MMK,2023-06-30,2099.98915802
MNT,2023-06-30,3436.00656954
MOP,2023-06-30,8.07164626
MRO,2023-06-30,345.36317642
MRU,2023-06-30,34.53631764
MTL,2023-06-30,0.3930168
MUR,2023-06-30,45.4782082
MVR,2023-06-30,15.30877995
MWK,2023-06-30,1051.87870373
MXN,2023-06-30,17.12418615
